      1.00, 999999.00, 999999.00, 994987.00, 999999.00, 999999.00, 999999.00, 999999.00, 999999.00, 999999.00, 999999.00, 999999.00, 999999.00
      2.00, 905910.00, 277862.00, 466166.00, 956296.00, 636181.00, 362858.00, 362858.00, 362858.00, 883053.00, 883053.00, 883053.00, 883053.00
      3.00, 834431.00, 124728.00, 292994.00, 846509.00, 453890.00, 193491.00, 193491.00, 193491.00, 753564.00, 753564.00, 753564.00, 753564.00
      4.00, 774829.00,  70209.00, 207690.00, 754705.00, 349456.00, 121893.00, 121893.00, 121893.00, 644405.00, 644405.00, 644405.00, 644405.00
      5.00, 722677.00,  44739.00, 157252.00, 675500.00, 280515.00,  84132.00,  84132.00,  84132.00, 551689.00, 551689.00, 551689.00, 551689.00
      6.00, 675925.00,  30834.00, 124132.00, 606108.00, 231197.00,  61522.00,  61522.00,  61522.00, 472655.00, 472655.00, 472655.00, 472655.00
      7.00, 633422.00,  22434.00, 100847.00, 544776.00, 194052.00,  46819.00,  46819.00,  46819.00, 405145.00, 405145.00, 405145.00, 405145.00
      8.00, 594431.00,  16981.00,  83674.00, 490264.00, 165060.00,  36684.00,  36684.00,  36684.00, 347404.00, 347404.00, 347404.00, 347404.00
      9.00, 558444.00,  13249.00,  70551.00, 441629.00, 141837.00,  29391.00,  29391.00,  29391.00, 297976.00, 297976.00, 297976.00, 297976.00
     10.00, 525082.00,  10587.00,  60245.00, 398118.00, 122864.00,  23966.00,  23966.00,  23966.00, 255637.00, 255637.00, 255637.00, 255637.00
     11.00, 494054.00,   8624.00,  51976.00, 359114.00, 107123.00,  19822.00,  19822.00,  19822.00, 219352.00, 219352.00, 219352.00, 219352.00
     12.00, 465125.00,   7139.00,  45223.00, 324094.00,  93901.00,  16588.00,  16588.00,  16588.00, 188246.00, 188246.00, 188246.00, 188246.00
     13.00, 438099.00,   5989.00,  39629.00, 292613.00,  82683.00,  14020.00,  14020.00,  14020.00, 161570.00, 161570.00, 161570.00, 161570.00
     14.00, 412811.00,   5082.00,  34938.00, 264285.00,  73085.00,  11949.00,  11949.00,  11949.00, 138689.00, 138689.00, 138689.00, 138689.00
     15.00, 389119.00,   4354.00,  30963.00, 238774.00,  64815.00,  10258.00,  10258.00,  10258.00, 119060.00, 119060.00, 119060.00, 119060.00
     16.00, 366900.00,   3763.00,  27566.00, 215784.00,  57646.00,   8862.00,   8862.00,   8862.00, 102216.00, 102216.00, 102216.00, 102216.00
     17.00, 346042.00,   3277.00,  24640.00, 195053.00,  51401.00,   7698.00,   7698.00,   7698.00,  87762.00,  87762.00,  87762.00,  87762.00
     18.00, 326447.00,   2873.00,  22102.00, 176352.00,  45934.00,   6720.00,   6720.00,   6720.00,  75356.00,  75356.00,  75356.00,  75356.00
     19.00, 308027.00,   2533.00,  19889.00, 159473.00,  41132.00,   5892.00,   5892.00,   5892.00,  64708.00,  64708.00,  64708.00,  64708.00
     20.00, 290702.00,   2246.00,  17948.00, 144234.00,  36897.00,   5187.00,   5187.00,   5187.00,  55566.00,  55566.00,  55566.00,  55566.00
     21.00, 274398.00,   2001.00,  16237.00, 130472.00,  33152.00,   4582.00,   4582.00,   4582.00,  47719.00,  47719.00,  47719.00,  47719.00
     22.00, 259050.00,   1790.00,  14724.00, 118038.00,  29831.00,   4060.00,   4060.00,   4060.00,  40981.00,  40981.00,  40981.00,  40981.00
     23.00, 244594.00,   1608.00,  13380.00, 106803.00,  26879.00,   3609.00,   3609.00,   3609.00,  35196.00,  35196.00,  35196.00,  35196.00
     24.00, 230975.00,   1450.00,  12183.00,  96649.00,  24248.00,   3216.00,   3216.00,   3216.00,  30229.00,  30229.00,  30229.00,  30229.00
     25.00, 218140.00,   1311.00,  11112.00,  87469.00,  21900.00,   2873.00,   2873.00,   2873.00,  25963.00,  25963.00,  25963.00,  25963.00
     26.00, 206042.00,   1190.00,  10152.00,  79168.00,  19799.00,   2573.00,   2573.00,   2573.00,  22300.00,  22300.00,  22300.00,  22300.00
     27.00, 194634.00,   1083.00,   9289.00,  71662.00,  17917.00,   2309.00,   2309.00,   2309.00,  19154.00,  19154.00,  19154.00,  19154.00
     28.00, 183875.00,    988.00,   8511.00,  64873.00,  16228.00,   2076.00,   2076.00,   2076.00,  16453.00,  16453.00,  16453.00,  16453.00
     29.00, 173725.00,    903.00,   7809.00,  58732.00,  14711.00,   1869.00,   1869.00,   1869.00,  14133.00,  14133.00,  14133.00,  14133.00
     30.00, 164150.00,    828.00,   7173.00,  53176.00,  13346.00,   1687.00,   1687.00,   1687.00,  12140.00,  12140.00,  12140.00,  12140.00
     31.00, 155114.00,    761.00,   6596.00,  48148.00,  12116.00,   1524.00,   1524.00,   1524.00,  10428.00,  10428.00,  10428.00,  10428.00
     32.00, 146586.00,    700.00,   6072.00,  43599.00,  11007.00,   1379.00,   1379.00,   1379.00,   8958.00,   8958.00,   8958.00,   8958.00
     33.00, 138536.00,    646.00,   5596.00,  39482.00,  10005.00,   1250.00,   1250.00,   1250.00,   7696.00,   7696.00,   7696.00,   7696.00
     34.00, 130937.00,    597.00,   5161.00,  35756.00,   9101.00,   1134.00,   1134.00,   1134.00,   6611.00,   6611.00,   6611.00,   6611.00
     35.00, 123761.00,    552.00,   4765.00,  32383.00,   8282.00,   1030.00,   1030.00,   1030.00,   5679.00,   5679.00,   5679.00,   5679.00
     36.00, 116986.00,    512.00,   4403.00,  29330.00,   7542.00,    937.00,    937.00,    937.00,   4879.00,   4879.00,   4879.00,   4879.00
     37.00, 110587.00,    475.00,   4071.00,  26566.00,   6870.00,    853.00,    853.00,    853.00,   4191.00,   4191.00,   4191.00,   4191.00
     38.00, 104543.00,    441.00,   3767.00,  24063.00,   6262.00,    778.00,    778.00,    778.00,   3601.00,   3601.00,   3601.00,   3601.00
     39.00,  98835.00,    411.00,   3489.00,  21797.00,   5710.00,    709.00,    709.00,    709.00,   3094.00,   3094.00,   3094.00,   3094.00
     40.00,  93442.00,    383.00,   3233.00,  19745.00,   5209.00,    648.00,    648.00,    648.00,   2658.00,   2658.00,   2658.00,   2658.00
     41.00,  88348.00,    357.00,   2998.00,  17887.00,   4754.00,    592.00,    592.00,    592.00,   2283.00,   2283.00,   2283.00,   2283.00
     42.00,  83534.00,    334.00,   2781.00,  16205.00,   4340.00,    542.00,    542.00,    542.00,   1962.00,   1962.00,   1962.00,   1962.00
     43.00,  78986.00,    312.00,   2582.00,  14681.00,   3964.00,    496.00,    496.00,    496.00,   1685.00,   1685.00,   1685.00,   1685.00
     44.00,  74688.00,    292.00,   2398.00,  13301.00,   3621.00,    454.00,    454.00,    454.00,   1448.00,   1448.00,   1448.00,   1448.00
     45.00,  70627.00,    274.00,   2229.00,  12051.00,   3310.00,    417.00,    417.00,    417.00,   1244.00,   1244.00,   1244.00,   1244.00
     46.00,  66789.00,    257.00,   2073.00,  10919.00,   3026.00,    382.00,    382.00,    382.00,   1069.00,   1069.00,   1069.00,   1069.00
     47.00,  63161.00,    241.00,   1928.00,   9893.00,   2767.00,    351.00,    351.00,    351.00,    918.00,    918.00,    918.00,    918.00
     48.00,  59732.00,    226.00,   1794.00,   8965.00,   2531.00,    322.00,    322.00,    322.00,    789.00,    789.00,    789.00,    789.00
     49.00,  56492.00,    213.00,   1671.00,   8123.00,   2316.00,    296.00,    296.00,    296.00,    678.00,    678.00,    678.00,    678.00
     50.00,  53428.00,    200.00,   1556.00,   7361.00,   2120.00,    273.00,    273.00,    273.00,    583.00,    583.00,    583.00,    583.00
     51.00,  50532.00,    189.00,   1450.00,   6670.00,   1941.00,    251.00,    251.00,    251.00,    501.00,    501.00,    501.00,    501.00
     52.00,  47794.00,    178.00,   1352.00,   6044.00,   1777.00,    231.00,    231.00,    231.00,    430.00,    430.00,    430.00,    430.00
     53.00,  45206.00,    168.00,   1261.00,   5478.00,   1628.00,    213.00,    213.00,    213.00,    370.00,    370.00,    370.00,    370.00
     54.00,  42759.00,    158.00,   1177.00,   4964.00,   1491.00,    196.00,    196.00,    196.00,    318.00,    318.00,    318.00,    318.00
     55.00,  40445.00,    150.00,   1098.00,   4499.00,   1367.00,    181.00,    181.00,    181.00,    273.00,    273.00,    273.00,    273.00
     56.00,  38258.00,    141.00,   1025.00,   4077.00,   1253.00,    167.00,    167.00,    167.00,    234.00,    234.00,    234.00,    234.00
     57.00,  36189.00,    134.00,    957.00,   3695.00,   1148.00,    154.00,    154.00,    154.00,    201.00,    201.00,    201.00,    201.00
     58.00,  34233.00,    126.00,    894.00,   3349.00,   1053.00,    142.00,    142.00,    142.00,    173.00,    173.00,    173.00,    173.00
     59.00,  32384.00,    120.00,    836.00,   3035.00,    966.00,    132.00,    132.00,    132.00,    149.00,    149.00,    149.00,    149.00
     60.00,  30635.00,    113.00,    781.00,   2751.00,    886.00,    122.00,    122.00,    122.00,    128.00,    128.00,    128.00,    128.00
     61.00,  28981.00,    108.00,    730.00,   2493.00,    813.00,    112.00,    112.00,    112.00,    110.00,    110.00,    110.00,    110.00
     62.00,  27416.00,    102.00,    683.00,   2260.00,    746.00,    104.00,    104.00,    104.00,     94.00,     94.00,     94.00,     94.00
     63.00,  25937.00,     97.00,    639.00,   2048.00,    684.00,     96.00,     96.00,     96.00,     81.00,     81.00,     81.00,     81.00
     64.00,  24538.00,     92.00,    598.00,   1856.00,    628.00,     89.00,     89.00,     89.00,     70.00,     70.00,     70.00,     70.00
     65.00,  23215.00,     87.00,    560.00,   1683.00,    577.00,     82.00,     82.00,     82.00,     60.00,     60.00,     60.00,     60.00
     66.00,  21963.00,     83.00,    524.00,   1525.00,    529.00,     76.00,     76.00,     76.00,     51.00,     51.00,     51.00,     51.00
     67.00,  20780.00,     79.00,    491.00,   1383.00,    486.00,     71.00,     71.00,     71.00,     44.00,     44.00,     44.00,     44.00
     68.00,  19660.00,     75.00,    460.00,   1253.00,    447.00,     66.00,     66.00,     66.00,     38.00,     38.00,     38.00,     38.00
     69.00,  18601.00,     71.00,    431.00,   1136.00,    410.00,     61.00,     61.00,     61.00,     33.00,     33.00,     33.00,     33.00
     70.00,  17599.00,     68.00,    404.00,   1030.00,    377.00,     56.00,     56.00,     56.00,     28.00,     28.00,     28.00,     28.00
     71.00,  16652.00,     65.00,    378.00,    933.00,    346.00,     52.00,     52.00,     52.00,     24.00,     24.00,     24.00,     24.00
     72.00,  15755.00,     61.00,    355.00,    846.00,    318.00,     49.00,     49.00,     49.00,     21.00,     21.00,     21.00,     21.00
     73.00,  14907.00,     59.00,    332.00,    767.00,    292.00,     45.00,     45.00,     45.00,     18.00,     18.00,     18.00,     18.00
     74.00,  14105.00,     56.00,    312.00,    695.00,    269.00,     42.00,     42.00,     42.00,     15.00,     15.00,     15.00,     15.00
     75.00,  13347.00,     53.00,    292.00,    630.00,    247.00,     39.00,     39.00,     39.00,     13.00,     13.00,     13.00,     13.00
     76.00,  12629.00,     51.00,    274.00,    571.00,    227.00,     36.00,     36.00,     36.00,     11.00,     11.00,     11.00,     11.00
     77.00,  11950.00,     48.00,    257.00,    518.00,    209.00,     34.00,     34.00,     34.00,     10.00,     10.00,     10.00,     10.00
     78.00,  11308.00,     46.00,    242.00,    470.00,    192.00,     31.00,     31.00,     31.00,      8.00,      8.00,      8.00,      8.00
     79.00,  10700.00,     44.00,    227.00,    426.00,    177.00,     29.00,     29.00,     29.00,      7.00,      7.00,      7.00,      7.00
     80.00,  10125.00,     42.00,    213.00,    386.00,    163.00,     27.00,     27.00,     27.00,      6.00,      6.00,      6.00,      6.00
     81.00,   9581.00,     40.00,    200.00,    350.00,    149.00,     25.00,     25.00,     25.00,      5.00,      5.00,      5.00,      5.00
     82.00,   9066.00,     38.00,    188.00,    317.00,    138.00,     23.00,     23.00,     23.00,      5.00,      5.00,      5.00,      5.00
     83.00,   8579.00,     37.00,    176.00,    288.00,    127.00,     22.00,     22.00,     22.00,      4.00,      4.00,      4.00,      4.00
     84.00,   8119.00,     35.00,    166.00,    261.00,    116.00,     20.00,     20.00,     20.00,      3.00,      3.00,      3.00,      3.00
     85.00,   7683.00,     34.00,    156.00,    236.00,    107.00,     19.00,     19.00,     19.00,      3.00,      3.00,      3.00,      3.00
     86.00,   7270.00,     32.00,    146.00,    214.00,     99.00,     18.00,     18.00,     18.00,      2.00,      2.00,      2.00,      2.00
     87.00,   6880.00,     31.00,    137.00,    194.00,     91.00,     16.00,     16.00,     16.00,      2.00,      2.00,      2.00,      2.00
     88.00,   6511.00,     29.00,    129.00,    176.00,     84.00,     15.00,     15.00,     15.00,      2.00,      2.00,      2.00,      2.00
     89.00,   6162.00,     28.00,    121.00,    160.00,     77.00,     14.00,     14.00,     14.00,      2.00,      2.00,      2.00,      2.00
     90.00,   5831.00,     27.00,    114.00,    145.00,     71.00,     13.00,     13.00,     13.00,      1.00,      1.00,      1.00,      1.00
     91.00,   5518.00,     26.00,    107.00,    131.00,     65.00,     12.00,     12.00,     12.00,      1.00,      1.00,      1.00,      1.00
     92.00,   5222.00,     25.00,    101.00,    119.00,     60.00,     11.00,     11.00,     11.00,      1.00,      1.00,      1.00,      1.00
     93.00,   4942.00,     24.00,     95.00,    108.00,     55.00,     11.00,     11.00,     11.00,      1.00,      1.00,      1.00,      1.00
     94.00,   4677.00,     23.00,     89.00,     98.00,     51.00,     10.00,     10.00,     10.00,      1.00,      1.00,      1.00,      1.00
     95.00,   4427.00,     22.00,     84.00,     89.00,     47.00,      9.00,      9.00,      9.00,      1.00,      1.00,      1.00,      1.00
     96.00,   4189.00,     21.00,     79.00,     80.00,     43.00,      9.00,      9.00,      9.00,      1.00,      1.00,      1.00,      1.00
     97.00,   3965.00,     20.00,     74.00,     73.00,     40.00,      8.00,      8.00,      8.00,         0,         0,         0,         0
     98.00,   3752.00,     19.00,     70.00,     66.00,     37.00,      8.00,      8.00,      8.00,         0,         0,         0,         0
     99.00,   3551.00,     18.00,     66.00,     60.00,     34.00,      7.00,      7.00,      7.00,         0,         0,         0,         0
    100.00,   3361.00,     18.00,     62.00,     54.00,     31.00,      7.00,      7.00,      7.00,         0,         0,         0,         0
    101.00,   3181.00,     17.00,     58.00,     49.00,     29.00,      6.00,      6.00,      6.00,         0,         0,         0,         0
    102.00,   3011.00,     16.00,     55.00,     45.00,     26.00,      6.00,      6.00,      6.00,         0,         0,         0,         0
    103.00,   2850.00,     16.00,     52.00,     41.00,     24.00,      5.00,      5.00,      5.00,         0,         0,         0,         0
    104.00,   2697.00,     15.00,     49.00,     37.00,     22.00,      5.00,      5.00,      5.00,         0,         0,         0,         0
    105.00,   2553.00,     14.00,     46.00,     33.00,     21.00,      5.00,      5.00,      5.00,         0,         0,         0,         0
    106.00,   2416.00,     14.00,     43.00,     30.00,     19.00,      4.00,      4.00,      4.00,         0,         0,         0,         0
    107.00,   2287.00,     13.00,     41.00,     27.00,     18.00,      4.00,      4.00,      4.00,         0,         0,         0,         0
    108.00,   2164.00,     13.00,     38.00,     25.00,     16.00,      4.00,      4.00,      4.00,         0,         0,         0,         0
    109.00,   2048.00,     12.00,     36.00,     23.00,     15.00,      4.00,      4.00,      4.00,         0,         0,         0,         0
    110.00,   1939.00,     12.00,     34.00,     20.00,     14.00,      3.00,      3.00,      3.00,         0,         0,         0,         0
    111.00,   1835.00,     11.00,     32.00,     19.00,     13.00,      3.00,      3.00,      3.00,         0,         0,         0,         0
    112.00,   1737.00,     11.00,     30.00,     17.00,     12.00,      3.00,      3.00,      3.00,         0,         0,         0,         0
    113.00,   1644.00,     11.00,     28.00,     15.00,     11.00,      3.00,      3.00,      3.00,         0,         0,         0,         0
    114.00,   1556.00,     10.00,     27.00,     14.00,     10.00,      3.00,      3.00,      3.00,         0,         0,         0,         0
    115.00,   1473.00,     10.00,     25.00,     13.00,      9.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    116.00,   1394.00,      9.00,     24.00,     11.00,      8.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    117.00,   1319.00,      9.00,     22.00,     10.00,      8.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    118.00,   1249.00,      9.00,     21.00,      9.00,      7.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    119.00,   1182.00,      8.00,     20.00,      8.00,      7.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    120.00,   1119.00,      8.00,     19.00,      8.00,      6.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    121.00,   1059.00,      8.00,     18.00,      7.00,      6.00,      2.00,      2.00,      2.00,         0,         0,         0,         0
    122.00,   1003.00,      7.00,     17.00,      6.00,      5.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    123.00,    949.00,      7.00,     16.00,      6.00,      5.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    124.00,    898.00,      7.00,     15.00,      5.00,      4.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    125.00,    850.00,      7.00,     14.00,      5.00,      4.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    126.00,    805.00,      6.00,     13.00,      4.00,      4.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    127.00,    762.00,      6.00,     12.00,      4.00,      3.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    128.00,    721.00,      6.00,     12.00,      4.00,      3.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    129.00,    683.00,      6.00,     11.00,      3.00,      3.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    130.00,    646.00,      6.00,     10.00,      3.00,      3.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    131.00,    612.00,      5.00,     10.00,      3.00,      3.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    132.00,    579.00,      5.00,      9.00,      2.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    133.00,    548.00,      5.00,      9.00,      2.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    134.00,    519.00,      5.00,      8.00,      2.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    135.00,    491.00,      5.00,      8.00,      2.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    136.00,    465.00,      4.00,      7.00,      2.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    137.00,    440.00,      4.00,      7.00,      1.00,      2.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    138.00,    417.00,      4.00,      7.00,      1.00,      1.00,      1.00,      1.00,      1.00,         0,         0,         0,         0
    139.00,    394.00,      4.00,      6.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    140.00,    373.00,      4.00,      6.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    141.00,    353.00,      4.00,      6.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    142.00,    334.00,      4.00,      5.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    143.00,    317.00,      3.00,      5.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    144.00,    300.00,      3.00,      5.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    145.00,    284.00,      3.00,      4.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    146.00,    269.00,      3.00,      4.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    147.00,    254.00,      3.00,      4.00,      1.00,      1.00,         0,         0,         0,         0,         0,         0,         0
    148.00,    241.00,      3.00,      4.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0
    149.00,    228.00,      3.00,      4.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0
    150.00,    216.00,      3.00,      3.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0
